Make,Model,Base Price,Introduced,Cylinders,Convertible;Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;BMW,Z3M,"54,000",01/06/1997,6,TRUE;Ferrari,550,"204,390",01/09/1996,12,FALSE;TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;BMW,Z3M,"54,000",01/06/1997,6,TRUE;Ferrari,550,"204,390",01/09/1996,12,FALSE;TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;Ferrari,550,"204,390",01/09/1996,12,FALSE;TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
,A6 2.8,"42,400",05/02/1996,6,FALSE;BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;

Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;

Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;

Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;

Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;

Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;

Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;

Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;

Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
BMW,Z3M,"54,000",01/06/1997,6,TRUE;
Ferrari,550,"204,390",01/09/1996,12,FALSE;
TVR,Griffith 500,"58,500",03/08/1996,8,TRUE;
Audi,A6 2.8,"42,400",05/02/1996,6,FALSE;
